Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
RANBP17,Cytosol,1088,124375,512,126,117,333,18.6
RANBP9,Cytosol,729,77847,366,80,64,219,-350.4
RANGAP1,Cytosol,587,63542,296,67,102,122,-141.7
RAP1GAP2,Cytosol,730,80056,330,104,93,203,-415.2
RAPGEF1,Cytosol,1077,120548,485,151,151,290,-599.1
RAPGEF2,Cytosol,1499,167417,638,224,201,436,-874.7
RARG,Cytosol,454,50342,218,63,56,117,-198.4
RASA2,Cytosol,850,96614,351,127,110,262,-364
RASAL1,Cytosol,804,90016,401,115,107,181,-212.5
RASAL2,Cytosol,1139,128558,456,174,143,366,-692.3
RASGRP1,Cytosol,797,90402,348,126,95,228,-309.7
RASSF1,Cytosol,344,39219,156,65,44,79,-184.3
RASSF7,Cytosol,373,39945,201,43,45,84,-147.3
RB1CC1,Cytosol,1594,183091,631,251,272,440,-876.5
RBBP9,Cytosol,186,21000,86,26,24,50,-60.5
RBKS,Cytosol,322,34143,170,27,33,92,44.8
RBM38,Cytosol,239,25498,135,21,14,69,-38.9
RBP1,Cytosol,135,15850,58,21,25,31,-66.4
RBP4,Cytosol,201,23010,87,28,28,58,-87.1
RBP7,Cytosol,134,15536,53,23,19,39,-82.9
RBPMS,Cytosol,196,21802,101,22,20,53,-89.6
RBX1,Cytosol,108,12274,44,16,12,36,-30.2
RCAN1,Cytosol,252,28079,124,35,40,53,-111.4
RCAN3,Cytosol,241,27492,102,29,46,64,-154.1
RCBTB1,Cytosol,531,58252,253,61,52,165,-34.4
RCCD1,Cytosol,376,40079,203,41,46,86,-94.5
RDX,Cytosol,583,68564,227,115,111,130,-586.8
RELA,Cytosol,551,60219,284,63,65,139,-255.4
REPS1,Cytosol,796,86662,353,96,98,249,-527.7
REPS2,Cytosol,660,71534,313,84,73,190,-426.7
RERG,Cytosol,199,22608,85,34,30,50,-77.2
REXO2,Cytosol,237,26833,107,41,36,53,-120
RFK,Cytosol,155,17623,73,25,18,39,-62
RFX2,Cytosol,723,79987,337,86,69,231,-252.9
RGL2,Cytosol,777,83549,389,100,96,192,-285.7
RGP1,Cytosol,391,42455,196,41,40,114,-43.3
RGS10,Cytosol,181,21210,65,34,30,52,-164.1
RGS12,Cytosol,1447,156357,670,214,180,383,-787.3
RGS3,Cytosol,1198,132336,535,177,168,318,-746.8
RHOA,Cytosol,193,21768,92,31,31,39,-71
RHOBTB1,Cytosol,696,79417,321,107,92,176,-237.3
RHPN1,Cytosol,670,73590,337,95,75,163,-241.3
RHPN2,Cytosol,686,76993,318,92,82,194,-172.9
RIC8A,Cytosol,531,59710,258,75,83,115,-140.8
RIC8B,Cytosol,520,58825,231,78,80,131,-133.4
RILPL1,Cytosol,403,47108,160,76,87,80,-375.4
RIN1,Cytosol,783,84099,411,100,77,195,-254.7
RIN2,Cytosol,895,100163,406,124,113,252,-405.8
RIN3,Cytosol,985,107854,491,123,111,260,-351.1
RIOK1,Cytosol,568,65583,214,109,106,139,-505.1
RIOK3,Cytosol,519,59093,226,86,87,120,-315.8
RIPK1,Cytosol,671,75931,286,95,87,203,-407.1
RIT1,Cytosol,219,25145,95,43,32,49,-123.1
RMI2,Cytosol,147,15865,85,21,18,23,-36.4
RMND5A,Cytosol,391,43993,180,51,49,111,-68.8
RMND5B,Cytosol,393,44414,183,56,47,107,-43.5
RNASE4,Cytosol,147,16840,62,26,11,48,-54.7
RNASEH2A,Cytosol,299,33395,139,37,42,81,-89.7
RNF123,Cytosol,1314,148515,632,174,155,353,-248.3
RNF126,Cytosol,311,33861,140,36,38,97,-183.7
RNF135,Cytosol,432,47888,190,58,49,135,-136.5
RNF14,Cytosol,474,53837,202,50,72,150,-134.2
RNF144B,Cytosol,303,33697,135,40,28,100,-1.7
RNF146,Cytosol,359,38950,146,47,52,114,-209.5
RNF150,Cytosol,438,48072,210,49,55,124,-43.5
RNF166,Cytosol,237,26122,110,33,19,75,-56.7
RNF181,Cytosol,153,17909,59,24,29,41,-109.3
RNF187,Cytosol,235,26190,117,41,41,36,-135.4
RNF213,Cytosol,5207,591407,2369,754,678,1406,-1433.1
RNF25,Cytosol,459,51219,204,67,60,128,-378.6
RNF31,Cytosol,1072,119652,495,145,128,304,-480.7
RNF34,Cytosol,372,41641,143,48,61,120,-184.2
RNF41,Cytosol,317,35905,142,43,40,92,-107.5
RNF44,Cytosol,432,47728,227,48,35,122,-199.2
RNF7,Cytosol,113,12683,41,14,15,43,-38.4
RNH1,Cytosol,461,49973,214,45,62,140,26.6
RNLS,Cytosol,342,37847,162,38,33,109,-48.4
RNPEP,Cytosol,650,72596,337,76,77,160,-134.5
RNPEPL1,Cytosol,725,80000,383,71,82,189,-18.5
ROCK1,Cytosol,1354,158175,490,245,247,372,-1231.4
ROCK2,Cytosol,1388,160900,530,247,246,365,-1170.3
RPAP1,Cytosol,1393,152755,742,160,144,347,-96
RPAP2,Cytosol,612,69509,231,106,89,186,-405.8
RPAP3,Cytosol,665,75719,267,112,108,178,-535
RPE,Cytosol,228,24928,124,27,28,49,-27.5
RPGR,Cytosol,1020,113387,405,137,184,294,-774.2
RPIA,Cytosol,311,33269,166,40,30,75,-55.1
RPS6KA3,Cytosol,740,83736,353,114,97,176,-250.4
RPS6KB1,Cytosol,525,59140,256,82,74,113,-257.8
RPS6KB2,Cytosol,482,53455,247,72,60,103,-181.3
RPS6KC1,Cytosol,1066,118682,452,136,182,296,-557.2
RPUSD1,Cytosol,312,34756,147,46,37,82,-132.3
RRAGD,Cytosol,400,45588,180,53,69,98,-114.6
RRM2,Cytosol,389,44878,192,53,58,86,-75
RRM2B,Cytosol,351,40737,169,45,57,80,-75.3
RRN3,Cytosol,651,74107,315,81,84,171,-71.2
RSU1,Cytosol,277,31540,127,39,31,80,-126.5
RTCA,Cytosol,366,39337,201,46,38,81,13.2
RTL1,Cytosol,1358,155048,645,172,196,345,-561.6
RTTN,Cytosol,2226,248630,1077,273,228,648,159.6
RUFY1,Cytosol,708,79818,294,116,118,180,-443.7
RUFY3,Cytosol,469,52965,209,70,75,115,-229.2
RUNX2,Cytosol,521,56648,229,53,36,203,-336.1
RUVBL1,Cytosol,456,50228,220,69,65,102,-114.3
RUVBL2,Cytosol,463,51157,221,66,69,107,-106.5
RWDD1,Cytosol,243,27940,91,25,65,62,-216.6
RWDD3,Cytosol,267,30543,122,40,38,67,-32.3
RWDD4,Cytosol,188,21251,73,26,29,60,-144.4
S100A10,Cytosol,97,11203,48,17,14,18,-35
S100A11,Cytosol,105,11740,47,14,13,31,-35.7
S100A16,Cytosol,103,11801,40,16,14,33,-51.6
S100A2,Cytosol,98,11117,45,12,17,24,-25.2
S100A4,Cytosol,101,11729,43,17,17,24,-57
S100A6,Cytosol,90,10180,43,14,15,18,-26
S100A9,Cytosol,114,13242,46,22,20,26,-99.2
SAC3D1,Cytosol,404,43553,233,62,45,64,-103.6
SACS,Cytosol,4579,521126,2084,656,567,1272,-1105.3
SAMD11,Cytosol,681,72708,361,97,75,148,-373.5
SAMD12,Cytosol,201,22907,89,36,22,54,-97.2
SAMD9,Cytosol,1589,184281,657,258,218,456,-804.4
SAPCD2,Cytosol,394,42637,206,56,47,85,-202.7
SAR1A,Cytosol,198,22367,98,26,23,51,-15.8
SAR1B,Cytosol,198,22410,100,26,25,47,-14.7
SCIN,Cytosol,715,80489,320,99,102,194,-365.9
SCLT1,Cytosol,688,80910,236,127,126,199,-654.7
SCN7A,Cytosol,1682,193493,864,203,166,449,329.4
SCOC,Cytosol,159,18045,66,26,21,46,-101.6
SCRN2,Cytosol,425,46597,213,47,48,117,-124.4
SCRN3,Cytosol,424,48544,189,61,64,110,-176.2
SCYL2,Cytosol,929,103709,440,106,88,295,-258.5
SDCBP,Cytosol,298,32444,154,37,30,77,-16.3
SDCBP2,Cytosol,292,31594,155,43,27,67,-21.8
SDSL,Cytosol,329,34674,189,38,30,72,71.4
SEC13,Cytosol,322,35541,133,38,40,111,-119.7
SEC14L1,Cytosol,715,81250,315,101,93,206,-240.7
SEC14L2,Cytosol,403,46145,187,63,53,100,-173
SEC23B,Cytosol,767,86479,377,91,78,221,-173.5
SEC24A,Cytosol,1093,119749,544,99,76,374,-250.9
SEC24B,Cytosol,1268,137418,602,119,99,448,-357.3
SEC24C,Cytosol,1094,118325,570,101,89,334,-254.4
SEC31A,Cytosol,1220,133015,589,137,114,380,-491.2
SEL1L3,Cytosol,1132,128567,531,148,114,339,-303.1
SELENBP1,Cytosol,472,52391,235,61,56,120,-120.1
SEMA6A,Cytosol,1030,114369,452,154,106,318,-463.9
SENP8,Cytosol,212,24107,94,26,25,67,-55.7
SEPHS2,Cytosol,448,47305,251,43,43,110,10
SEPSECS,Cytosol,501,55726,241,75,57,128,-75.6
SERF2,Cytosol,59,6900,16,19,9,15,-120.5
SERGEF,Cytosol,458,48981,223,51,44,140,-112
SERPINA10,Cytosol,444,50707,222,64,53,105,-102.6
SERPINA4,Cytosol,427,48542,208,63,44,112,-29.3
SERPINA6,Cytosol,405,45141,203,38,36,128,45.5
SERPINA7,Cytosol,415,46325,205,48,43,119,6.3
SERPINB1,Cytosol,379,42742,179,50,48,102,-94.3
SERPINB5,Cytosol,375,42100,167,52,51,105,-100.4
SERPINB6,Cytosol,376,42622,178,47,53,98,-83.2
SERPINB9,Cytosol,376,42404,173,50,50,103,-64.8
SERPINC1,Cytosol,464,52602,214,65,62,123,-129.1
SERPIND1,Cytosol,499,57071,234,69,59,137,-117.6
SERPINF1,Cytosol,418,46312,205,53,50,110,-68.5
SERPING1,Cytosol,500,55154,232,53,48,167,-62.5
SESN2,Cytosol,480,54494,226,67,65,122,-181.4
SESTD1,Cytosol,696,79348,301,92,110,193,-286.4
SETD3,Cytosol,594,67257,257,85,85,167,-281.7
SETD4,Cytosol,440,50416,188,70,50,132,-123.9
SETDB1,Cytosol,1291,143157,542,183,182,384,-820.5
SFN,Cytosol,248,27774,107,33,48,60,-148.5
SGSM2,Cytosol,1006,113285,457,157,131,261,-415.2
SGTB,Cytosol,304,33429,133,30,39,102,-119.2
SH2B1,Cytosol,756,79366,402,79,86,189,-320.8
SH2B2,Cytosol,632,67738,322,83,77,150,-224.9
SH2D3A,Cytosol,576,63093,307,85,68,116,-219.3
SH2D4A,Cytosol,454,52727,178,86,74,116,-412.5
SH3BGR,Cytosol,239,26086,112,21,59,47,-161.4
SH3BGRL,Cytosol,114,12774,53,14,16,31,-78.8
SH3BGRL2,Cytosol,107,12326,49,15,15,28,-59.4
SH3BGRL3,Cytosol,93,10438,40,10,13,30,-46.3
SH3BP2,Cytosol,561,62244,270,88,68,135,-384.1
SH3BP5,Cytosol,455,50425,183,68,86,118,-392.3
SH3BP5L,Cytosol,393,43499,168,66,67,92,-356.3
SH3GL1,Cytosol,368,41490,160,59,64,85,-270.1
SH3GLB1,Cytosol,365,40796,159,47,47,112,-152.4
SH3KBP1,Cytosol,665,73126,287,111,107,160,-558.5
SH3PXD2B,Cytosol,911,101579,419,145,126,221,-769.6
SH3RF1,Cytosol,888,93129,460,105,73,250,-218.9
SH3YL1,Cytosol,342,37148,171,45,35,91,-111.9
SHARPIN,Cytosol,387,39949,227,34,34,92,-59.9
SHB,Cytosol,509,55042,218,80,57,154,-404.3
SHC1,Cytosol,583,62822,306,73,67,137,-288
SHCBP1,Cytosol,672,75690,301,78,112,181,-191.4
SHKBP1,Cytosol,707,76344,363,85,61,198,-162
SHMT1,Cytosol,483,53083,237,70,53,123,-121.2
SHROOM1,Cytosol,852,90786,450,100,97,205,-427.7
SIAH1,Cytosol,282,31123,133,32,25,92,-17.6
SIAH2,Cytosol,324,34615,165,37,24,98,-21
SIK1,Cytosol,783,84902,407,89,73,214,-157.4
SIK2,Cytosol,926,103915,443,106,103,274,-451.3
SIK3,Cytosol,1321,144851,628,166,127,400,-709.8
SIKE1,Cytosol,207,23721,82,34,39,52,-129.6
SIPA1,Cytosol,1042,112149,530,133,119,260,-433.6
SIRT2,Cytosol,389,43182,185,51,56,97,-140.2
SIRT5,Cytosol,310,33881,157,46,29,78,-66.4
SKA3,Cytosol,412,46359,164,52,62,134,-247.3
SKAP2,Cytosol,359,41217,145,49,74,91,-290.5
SKP1,Cytosol,163,18658,67,22,38,36,-116.8
SLAIN2,Cytosol,581,62543,247,74,56,204,-479.3
SLC7A6OS,Cytosol,309,35028,109,41,67,92,-322.6
SLK,Cytosol,1235,142695,433,212,249,341,-1222.8
SLPI,Cytosol,132,14326,61,21,9,41,-40.3
SMAD1,Cytosol,465,52260,201,65,44,155,-264.8
SMAD2,Cytosol,467,52306,199,55,48,165,-207.2
SMAD3,Cytosol,425,48081,188,56,43,138,-189.8
SMAD4,Cytosol,552,60439,259,74,51,168,-214.3
SMAD5,Cytosol,465,52258,206,64,42,153,-239.8
SMC2,Cytosol,1197,135656,490,216,187,304,-803.6
SMC4,Cytosol,1288,147182,522,235,217,314,-889.5
SMCR8,Cytosol,937,105022,398,127,132,280,-412.6
SMG1,Cytosol,3661,410501,1648,463,425,1125,-807.7
SMG5,Cytosol,1016,113928,458,138,137,283,-402.7
SMG7,Cytosol,1137,127282,487,147,103,400,-738.9
SMG8,Cytosol,991,109684,473,142,110,266,-467.3
SMG9,Cytosol,520,57651,258,67,57,138,-248.9
SMIM8,Cytosol,97,11059,45,17,11,24,-53.8
SMS,Cytosol,366,41268,169,46,57,94,-93.8
SMUG1,Cytosol,270,29862,158,30,26,56,-12.2
SMURF1,Cytosol,757,86114,338,115,93,211,-399.2
SMURF2,Cytosol,748,86196,316,121,91,220,-440.5
SMYD2,Cytosol,433,49688,188,72,62,111,-184.4
SMYD3,Cytosol,428,49097,193,68,59,108,-118.9
SMYD4,Cytosol,804,89225,365,111,92,236,-199.7
SNAPIN,Cytosol,136,14874,70,22,16,28,-49.6
SND1,Cytosol,910,101997,426,143,126,215,-387.5
SNRK,Cytosol,765,84276,330,118,101,216,-411.2
SNRNP25,Cytosol,132,15270,59,21,18,34,-40.3
SNX10,Cytosol,201,23598,71,32,32,66,-154
SNX12,Cytosol,162,18885,73,28,24,37,-111.2
SNX15,Cytosol,342,38291,168,51,59,64,-223.7
SNX17,Cytosol,470,52901,212,67,60,131,-169.6
SNX18,Cytosol,628,68894,313,73,75,167,-255.7
SNX24,Cytosol,169,19818,78,31,24,36,-70
SNX29,Cytosol,813,91254,350,123,119,221,-490.3
SNX33,Cytosol,574,65265,256,88,75,155,-337.3
SNX8,Cytosol,465,52569,224,71,57,113,-159.1
SNX9,Cytosol,595,66592,258,79,83,175,-371.6
SOCS2,Cytosol,198,22172,85,30,21,62,-94.3
SOCS6,Cytosol,535,59528,229,79,64,163,-302.8
SOD1,Cytosol,154,15936,77,23,21,33,-52.9
SORBS1,Cytosol,1292,142513,543,186,169,394,-1018.9
SORBS3,Cytosol,671,75341,293,111,77,190,-630.5
SORD,Cytosol,357,38325,196,49,36,76,4.3
SOS2,Cytosol,1332,152979,602,210,181,339,-678.1
SOWAHC,Cytosol,525,55672,268,87,69,101,-327.7
SOX18,Cytosol,384,40891,220,50,43,71,-226.1
SP140L,Cytosol,580,67005,222,110,84,164,-491.5
SPA17,Cytosol,151,17406,56,24,34,37,-172.7
SPAG1,Cytosol,926,103639,389,159,147,231,-669.9
SPAG5,Cytosol,1193,134422,474,152,190,377,-651.7
SPAG9,Cytosol,1321,146205,556,180,211,374,-787
SPAST,Cytosol,616,67197,310,96,63,147,-241.7
SPATA2,Cytosol,520,58427,204,89,59,168,-294.5
SPATA2L,Cytosol,424,46179,224,50,53,97,-97.6
SPATA33,Cytosol,139,15461,49,30,19,41,-160.5
SPC24,Cytosol,197,22443,84,26,39,48,-105.9
SPDL1,Cytosol,605,70172,219,101,109,176,-511.5
SPECC1L,Cytosol,1117,124544,421,176,180,340,-906
SPEF2,Cytosol,1822,209811,768,296,313,445,-1240.7
SPG11,Cytosol,2443,278868,1083,315,304,741,-428.6
SPIN3,Cytosol,258,29207,114,43,37,64,-138.5
SPIRE2,Cytosol,714,79671,329,115,99,171,-378.3
SPR,Cytosol,261,28048,142,31,28,60,1.3
SPRR3,Cytosol,169,18154,81,21,14,53,-151.7
SPSB2,Cytosol,263,28630,134,35,25,69,-114.2
SPTA1,Cytosol,2419,280014,947,389,474,609,-1842.5
SRGAP1,Cytosol,1085,124264,431,181,156,317,-812.2
SRI,Cytosol,198,21676,101,19,20,58,-63.5
SRM,Cytosol,302,33825,146,33,35,88,-61.1
SRP19,Cytosol,144,16156,61,28,14,41,-100.3
SRP54,Cytosol,504,55705,255,71,57,121,-120.5
SRRD,Cytosol,339,38573,156,46,50,87,-99.2
SRXN1,Cytosol,137,14259,79,15,11,32,-18.6
SSH2,Cytosol,1423,158216,584,193,207,439,-906.4
SSH3,Cytosol,659,72996,304,80,89,186,-383.2
SSU72,Cytosol,194,22574,75,29,32,58,-121.7
STAM,Cytosol,540,59180,249,51,70,170,-258.1
STAM2,Cytosol,525,58164,225,59,71,170,-267.2
STAMBPL1,Cytosol,436,49783,187,70,55,124,-175.8
STAP2,Cytosol,403,44894,202,62,50,89,-189.6
STARD10,Cytosol,291,33049,125,45,39,82,-151.9
STAT2,Cytosol,851,97916,384,109,116,242,-357.5
STAT5B,Cytosol,787,89866,349,98,95,245,-367.8
STIL,Cytosol,1287,142955,549,164,144,430,-644
STIP1,Cytosol,543,62639,216,99,93,135,-509.1
STK10,Cytosol,968,112135,371,184,167,246,-918.2
STK11,Cytosol,433,48636,204,68,58,103,-200.5
STK17A,Cytosol,414,46558,194,57,67,96,-158.7
STK17B,Cytosol,372,42344,156,47,53,116,-120.2
STK24,Cytosol,443,49308,199,65,67,112,-217.3
STK25,Cytosol,426,48112,189,73,63,101,-230.3
STK32C,Cytosol,486,54994,226,76,69,115,-255.5
STK38,Cytosol,465,54190,197,82,71,115,-255.3
STK38L,Cytosol,464,54003,201,79,71,113,-261.1
STK4,Cytosol,487,55630,211,68,82,126,-296.3
STK40,Cytosol,435,49001,197,71,56,111,-163.5
STMN1,Cytosol,149,17303,52,36,36,25,-195.3
STOX2,Cytosol,926,102671,343,164,120,299,-860.6
STRADA,Cytosol,431,48369,201,57,49,124,-105.7
STRAP,Cytosol,350,38438,162,44,52,92,-110.7
STRIP1,Cytosol,837,95576,393,120,114,210,-333
STRIP2,Cytosol,834,95360,384,115,115,220,-280.6
STRN3,Cytosol,797,87209,362,107,117,211,-447
STUB1,Cytosol,303,34856,123,54,54,72,-245.7
STX1A,Cytosol,288,33023,113,50,57,68,-169.8
STXBP1,Cytosol,594,67569,257,97,85,155,-243.5
STXBP2,Cytosol,593,66453,282,91,83,137,-149.7
STXBP4,Cytosol,553,61662,232,71,82,168,-251.2
STXBP5,Cytosol,1151,127573,532,151,126,342,-371.3
STYX,Cytosol,223,25492,112,28,26,57,-44
SUFU,Cytosol,484,53947,234,60,66,124,-217.5
SUGT1,Cytosol,365,41024,151,48,56,110,-219.7
SULT1A1,Cytosol,295,34165,140,42,37,76,-106.7
SWAP70,Cytosol,585,68998,219,110,111,145,-508.5
SWSAP1,Cytosol,229,24311,135,21,24,49,-39.5
SYNJ1,Cytosol,1573,173103,746,198,173,456,-639.7
SYNJ2,Cytosol,1496,165538,709,217,184,386,-642
SYNRG,Cytosol,1314,140654,616,135,166,397,-628.4
SZRD1,Cytosol,152,16997,62,27,25,38,-172.2
SZT2,Cytosol,3432,378029,1727,423,385,897,-888.3
TAB1,Cytosol,504,54644,238,56,59,151,-174.3
TAB2,Cytosol,693,76494,280,87,52,274,-510.5
TAB3,Cytosol,712,78653,297,87,54,274,-602.8
TACC3,Cytosol,838,90360,375,108,132,223,-602.9
TAF7,Cytosol,349,40259,125,66,76,82,-351.8
TAF9,Cytosol,264,28974,115,33,29,87,-146.5
TAGLN3,Cytosol,199,22473,92,27,24,56,-117.8
TALDO1,Cytosol,337,37540,163,51,47,76,-84.4
TANC1,Cytosol,1861,202219,848,265,187,561,-711.5
TANC2,Cytosol,1990,219650,910,260,198,622,-869.3
TANGO2,Cytosol,276,30937,131,31,36,78,-73.7
TANK,Cytosol,425,47816,171,60,62,132,-305.4
TAOK1,Cytosol,1001,116070,385,186,147,283,-920.1
TAOK3,Cytosol,898,105406,333,182,146,237,-807.4
TATDN1,Cytosol,297,33602,138,47,40,72,-94.3
TATDN3,Cytosol,274,30333,142,40,34,58,-47.8
TAX1BP3,Cytosol,124,13735,59,17,14,34,-50.4
TBC1D1,Cytosol,1168,133084,506,185,154,323,-595.8
TBC1D10B,Cytosol,808,87199,404,119,89,196,-491.8
TBC1D13,Cytosol,400,46554,179,50,57,114,-101.5
TBC1D14,Cytosol,693,78137,313,101,90,189,-280.4
TBC1D15,Cytosol,691,79491,293,95,98,205,-282.8
TBC1D21,Cytosol,336,39221,155,45,43,93,-47.1
TBC1D22A,Cytosol,517,59121,232,74,72,139,-245.9
TBC1D22B,Cytosol,505,59081,214,79,66,146,-287.6
TBC1D23,Cytosol,699,78322,311,89,96,203,-201.6
TBC1D24,Cytosol,559,62919,274,76,63,146,-61.4
TBC1D25,Cytosol,688,76327,348,96,90,154,-250.4
TBC1D4,Cytosol,1298,146563,555,196,168,379,-717.9
TBC1D8,Cytosol,1140,130835,508,162,171,299,-383.1
TBC1D9,Cytosol,1266,143229,573,162,180,351,-401.4
TBCA,Cytosol,108,12855,42,23,26,17,-102
TBCC,Cytosol,346,39248,143,52,54,97,-199.9
TBCE,Cytosol,527,59346,241,76,69,141,-172.9
TBCEL,Cytosol,424,48195,190,57,62,115,-139.9
TBCK,Cytosol,893,100679,437,124,108,224,-94.7
TBK1,Cytosol,729,83642,323,116,99,191,-253.1
TBKBP1,Cytosol,615,67702,290,80,80,165,-420.1
TBPL1,Cytosol,186,20887,94,30,17,45,14.9
TCEANC,Cytosol,351,40245,126,60,42,123,-249.2
TCF4,Cytosol,667,71308,282,91,68,226,-565.7
TCFL5,Cytosol,500,52697,249,60,55,136,-232.5
TCHP,Cytosol,498,61072,153,112,108,125,-726.9
TCP11L1,Cytosol,509,57035,251,69,72,117,-78.1
TDRD7,Cytosol,1098,123586,503,157,133,305,-321.9
TECPR1,Cytosol,1165,129696,513,143,133,376,-532.1
TECPR2,Cytosol,1411,153848,646,150,157,458,-376.3
TEN1,Cytosol,123,13856,60,16,11,36,-26.8
TESK2,Cytosol,571,63639,280,81,72,138,-241.9
TEX30,Cytosol,227,25585,108,43,23,53,-40.8
TEX9,Cytosol,391,44826,148,70,67,106,-343.4
TFDP1,Cytosol,410,45070,179,53,52,126,-227.1
TFE3,Cytosol,575,61521,282,67,70,156,-269.3
TFEB,Cytosol,476,52865,224,62,57,133,-330.2
TFF3,Cytosol,80,8641,40,8,8,24,8.8
TFG,Cytosol,400,43448,184,30,36,150,-338.6
TGDS,Cytosol,350,40214,157,49,43,101,-110.7
TGFBRAP1,Cytosol,860,97158,419,118,103,220,-99.9
TGM3,Cytosol,693,76632,331,75,76,211,-162.8
TGS1,Cytosol,853,96620,314,122,156,261,-739.1
THADA,Cytosol,1953,219607,924,225,215,589,45.2
THBS4,Cytosol,961,105869,414,97,148,302,-513.7
THG1L,Cytosol,298,34831,128,47,37,86,-124.7
THOC3,Cytosol,351,38772,157,46,44,104,-109
THOP1,Cytosol,689,78840,310,105,102,172,-323.3
THTPA,Cytosol,230,25566,115,29,40,46,-82.1
TIFA,Cytosol,184,21445,70,21,25,68,-104.8
TIPRL,Cytosol,272,31444,119,43,42,68,-109
TJP2,Cytosol,1190,133958,495,207,186,302,-1127.8
TJP3,Cytosol,919,101397,414,143,130,232,-660.2
TK1,Cytosol,234,25469,123,31,22,58,-6.3
TKT,Cytosol,623,67878,312,88,70,153,-108.4
TKTL2,Cytosol,626,67877,316,77,70,163,-45
TLE2,Cytosol,743,79841,349,87,74,233,-226.5
TLN2,Cytosol,2542,271613,1227,303,319,693,-555.2
TM2D2,Cytosol,214,22871,114,16,20,64,53.9
TMA7,Cytosol,64,7066,25,21,10,8,-108.2
TMCO4,Cytosol,634,67910,347,68,68,151,24.7
TMCO6,Cytosol,493,54442,261,50,50,132,58.3
TMED8,Cytosol,325,35740,142,40,58,85,-203.7
TMOD1,Cytosol,359,40569,159,50,60,90,-216.9
TMOD2,Cytosol,351,39595,159,54,61,77,-226.1
TMOD3,Cytosol,352,39595,152,51,59,90,-205.3
TMSB10,Cytosol,44,5026,14,9,10,11,-57.6
TMSB4X,Cytosol,44,5053,13,9,11,11,-71.3
TNFAIP1,Cytosol,316,36204,124,51,42,99,-169
TNFAIP2,Cytosol,654,72661,333,93,87,141,-179.4
TNFAIP8,Cytosol,198,23003,81,36,27,54,-87.6
TNIK,Cytosol,1360,154943,551,233,199,377,-1130.3
TNIP2,Cytosol,429,48700,178,79,72,100,-370.3
TNK1,Cytosol,666,72468,369,100,61,136,-182.8
TNK2,Cytosol,1038,114569,531,141,117,249,-559.8
TNKS,Cytosol,1327,142039,654,194,140,339,-434.6
TNKS1BP1,Cytosol,1729,181796,818,188,254,469,-1389.2
TNKS2,Cytosol,1166,126918,557,181,132,296,-369.7
TNPO1,Cytosol,898,102355,432,101,127,238,-109.2
TNPO2,Cytosol,897,101388,450,97,120,230,-48
TNPO3,Cytosol,923,104203,449,110,114,250,35.2
TNRC6B,Cytosol,1833,194002,768,181,164,720,-1761.6
TNRC6C,Cytosol,1690,175964,761,149,123,657,-1230.9
TNS3,Cytosol,1445,155266,701,181,150,413,-618.4
TOB1,Cytosol,345,38155,163,34,31,117,-197.8
TOM1,Cytosol,492,53818,237,52,78,125,-212
TOM1L1,Cytosol,476,52989,215,52,59,150,-221.5
TOM1L2,Cytosol,507,55556,239,54,76,138,-219.5
TOMM34,Cytosol,309,34559,129,54,39,87,-188.3
TP53BP2,Cytosol,1128,125616,502,148,146,332,-857.5
TP53I3,Cytosol,332,35536,192,36,30,74,2.7
TPD52L1,Cytosol,204,22449,81,29,30,64,-129.1
TPI1,Cytosol,249,26669,129,32,29,59,-29.4
TPK1,Cytosol,243,27265,117,27,31,68,-23.7
TPM2,Cytosol,284,32851,98,54,81,51,-316.8
TPMT,Cytosol,245,28180,108,37,35,65,-83.1
TPPP,Cytosol,219,23694,95,46,31,47,-165.4
TPPP3,Cytosol,176,18985,76,35,26,39,-120.3
TPRKB,Cytosol,175,19661,83,23,21,48,-6.1
TRADD,Cytosol,312,34247,163,41,40,68,-101.7
TRAF2,Cytosol,501,55859,226,80,62,133,-132.6
TRAF3,Cytosol,568,64490,225,98,73,172,-276.5
TRAF3IP1,Cytosol,691,78632,233,151,139,168,-867.5
TRAF3IP2,Cytosol,574,64666,272,79,65,158,-388
TRAF4,Cytosol,470,53543,207,81,53,129,-224.9
TRAF5,Cytosol,557,64406,221,97,74,165,-297.6
TRAF6,Cytosol,522,59573,221,78,67,156,-212.4
TRAF7,Cytosol,670,74609,280,95,74,221,-160.8
TRAFD1,Cytosol,582,64841,234,79,88,181,-475.2
TRAK2,Cytosol,914,101419,383,110,125,296,-477.4
TRAPPC1,Cytosol,145,16832,69,24,13,39,-25.5
TRAPPC10,Cytosol,1259,142189,558,162,155,384,-331.4
TRAPPC12,Cytosol,735,79375,382,76,99,178,-276.2
TRAPPC13,Cytosol,417,46524,191,47,49,130,-40.9
TRAPPC5,Cytosol,188,20783,98,32,21,37,-5.4
TRAPPC6A,Cytosol,159,17605,91,16,18,34,34.3
TRAPPC6B,Cytosol,158,17983,75,24,17,42,-21.5
TRIM16L,Cytosol,348,40306,148,49,47,104,-169
TRIM21,Cytosol,475,54170,204,72,66,133,-220.9
TRIM23,Cytosol,574,64067,260,88,77,149,-87.5
TRIM25,Cytosol,630,70973,266,102,70,192,-275.3
TRIM3,Cytosol,744,80830,368,104,80,192,-241.8
TRIM36,Cytosol,728,83013,296,108,104,220,-361.5
